"","lat","lon"
"1",42.3300601,-71.0575962
"2",42.3298063,-71.0568237
"3",42.335612,-71.0453653
"4",42.3358023,-71.0242081
"5",42.3332644,-71.0227489
"6",42.3320588,-71.0202599
"7",42.3310119,-71.0175991
"8",42.3307263,-71.0150671
"9",42.3343113,-71.0124922
"10",42.3362782,-71.0113335
"11",42.3369126,-71.0093594
"12",42.3384353,-71.0099173
"13",42.3392283,-71.0112906
"14",42.3386891,-71.0123205
"15",42.3386891,-71.0132217
"16",42.3386256,-71.0200024
"17",42.3378326,-71.0218048
"18",42.335834,-71.0241652
